source,target,interaction,id,gpc,basic,hinku,alas,secap,hiv,scope,indices,description,Unit
pienhiukkaspäästö,päästö,alajoukko,,,,,,,,,,,
kasvihuonekaasupäästö,päästö,alajoukko,,,,,,,,,,,
bioperäinen khk-päästö,kasvihuonekaasupäästö,alajoukko,,TRUE,,,,,,,,,
ei-bioperäinen khk-päästö,kasvihuonekaasupäästö,alajoukko,,TRUE,,,,,,,,,
henkilöauto,ajoneuvo,alajoukko,,,,,,,,,,"Käyttövoima ilmoitetaan polttoaineen avulla, ei ajoneuvotyyppinä",
kuorma-auto,ajoneuvo,alajoukko,,,,,,,,,,,
pakettiauto,ajoneuvo,alajoukko,,,,,,,,,,,
linja-auto,ajoneuvo,alajoukko,,,,,,,,,,,
raitiovaunu,ajoneuvo,alajoukko,,,,,,,,,,,
metro,ajoneuvo,alajoukko,,,,,,,,,,,
juna,ajoneuvo,alajoukko,,,,,,,,,,,
asuinrakennus,kiinteistö,alajoukko,,,,,,,,,,,
liike- ja toimistorakennus,kiinteistö,alajoukko,,,,,,,,,,,
omakotitalo,asuinrakennus,alajoukko,,,,,,,,,,,
kerrostalo,asuinrakennus,alajoukko,,,,,,,,,,,
rivitalo,asuinrakennus,alajoukko,,,,,,,,,,,
toimistorakennus,liike- ja toimistorakennus,alajoukko,,,,,,,,,,,
liikekiinteistö,liike- ja toimistorakennus,alajoukko,,,,,,,,,,,
urheilu- ja vapaa-ajan kiinteistö,liike- ja toimistorakennus,alajoukko,,,,,,,,,,,
julkinen kiinteistö,liike- ja toimistorakennus,alajoukko,,,,,,,,,,,
teollisuuskiinteistö,rakennus,alajoukko,GPCI.3,TRUE,,,,,,,scope,,
kaukolämpö,lämmitys,alajoukko,,,,,,,,,,,
maalämpö,lämmitys,alajoukko,,,,,,,,,,,
suora sähkölämpö,lämmitys,alajoukko,,,,,,,,,,,
öljylämpö,lämmitys,alajoukko,,,,,,,,,,,
kaasulämpö,lämmitys,alajoukko,,,,,,,,,,,
