"","url","type","object_id","name","id","identifier","indicator_level","time_resolution","latest_value.value","latest_value.date","latest_value.unit"
"209","https://aplans.api.hel.ninja/v1/action/356/","action",356,"Energiarenessanssi-ohjelma","a356","67",NA,NA,NA,NA,NA
"210","https://aplans.api.hel.ninja/v1/action/357/","action",357,"Öljylämmityksestä luopuminen ja sähkölämmityksen korvaaminen uusiutuvilla","a357","68",NA,NA,NA,NA,NA
"211","https://aplans.api.hel.ninja/v1/action/358/","action",358,"3D-Energia- ja ilmastoatlas","a358","69",NA,NA,NA,NA,NA
"212","https://aplans.api.hel.ninja/v1/action/359/","action",359,"Taloyhtiöpäättäjien energiaosaamisen parantaminen","a359","70",NA,NA,NA,NA,NA
"213","https://aplans.api.hel.ninja/v1/action/360/","action",360,"Helen hiilineutraali 2035","a360","71",NA,NA,NA,NA,NA
"214","https://aplans.api.hel.ninja/v1/action/362/","action",362,"Uusiutuvan sähkön hankinta","a362","73",NA,NA,NA,NA,NA
"215","https://aplans.api.hel.ninja/v1/indicator/389/","indicator",389,"Hankitun uusiutuvan sähkön määrä ja osuus koko sähkön kulutuksesta","i389","Hankitun uusiutuvan sähkön määrä ja osuus koko s","","year",NA,NA,NA
"216","https://aplans.api.hel.ninja/v1/action/366/","action",366,"Hybridilämmityksen edistäminen","a366","77",NA,NA,NA,NA,NA
"217","https://aplans.api.hel.ninja/v1/action/377/","action",377,"Puurakentamisen edistäminen asemakaavoituksella","a377","88",NA,NA,NA,NA,NA
"218","https://aplans.api.hel.ninja/v1/action/379/","action",379,"Ilmastonmuutos koulutyössä","a379","90",NA,NA,NA,NA,NA
"219","https://aplans.api.hel.ninja/v1/indicator/365/","indicator",365,"Täydennyskoulutettujen opettajien määrä","i365",NA,"operational","year",NA,NA,NA
"220","https://aplans.api.hel.ninja/v1/action/380/","action",380,"Yhteistyö koulujen ja oppilaitosten kanssa","a380","91",NA,NA,NA,NA,NA
"221","https://aplans.api.hel.ninja/v1/indicator/340/","indicator",340,"Harjoittelupaikkojen määrä","i340",NA,"operational","year",NA,NA,NA
"222","https://aplans.api.hel.ninja/v1/action/381/","action",381,"Ympäristökasvatus","a381","92",NA,NA,NA,NA,NA
"223","https://aplans.api.hel.ninja/v1/indicator/366/","indicator",366,"Vihreä Lippu -päiväkotien, peruskoulujen ja lukioiden määrä","i366",NA,"operational","year",NA,NA,NA
"224","https://aplans.api.hel.ninja/v1/action/382/","action",382,"Ilmastonmuutoskoulutus","a382","93",NA,NA,NA,NA,NA
"225","https://aplans.api.hel.ninja/v1/indicator/224/","indicator",224,"Kaupunkilaisille suunnattujen ympäristökasvatustapahtumien määrä","i224",NA,"operational","year",NA,NA,NA
"226","https://aplans.api.hel.ninja/v1/indicator/220/","indicator",220,"Järjestettyjen ympäristöosaamiskurssien määrä","i220",NA,"operational","year",NA,NA,NA
"227","https://aplans.api.hel.ninja/v1/action/383/","action",383,"Kaupunkiviljelyn edistäminen","a383","94",NA,NA,NA,NA,NA
"228","https://aplans.api.hel.ninja/v1/indicator/330/","indicator",330,"Kaupunkiviljelypaikkojen määrä","i330",NA,"operational","year",NA,NA,NA
"229","https://aplans.api.hel.ninja/v1/action/384/","action",384,"Ilmastoystävällisten ruokien lisääminen ruokalistoille","a384","95",NA,NA,NA,NA,NA
"230","https://aplans.api.hel.ninja/v1/indicator/417/","indicator",417,"Kasvisruokien määrä kuuden viikon ruokalistalla","i417",NA,"operational","year",NA,NA,NA
"231","https://aplans.api.hel.ninja/v1/indicator/418/","indicator",418,"Reseptiikassa tehdyt muutokset lihan ja maitotuotteiden käytön vähentämiseksi","i418",NA,"operational","year",NA,NA,NA
"232","https://aplans.api.hel.ninja/v1/indicator/419/","indicator",419,"Toimipaikkojen määrä, joissa on kasvipohjainen ruokajuomavaihtoehto tarjolla","i419",NA,"operational","year",NA,NA,NA
"233","https://aplans.api.hel.ninja/v1/action/386/","action",386,"Ruokahävikin vähentäminen kaupungin ruokapalveluissa","a386","97",NA,NA,NA,NA,NA
"234","https://aplans.api.hel.ninja/v1/indicator/415/","indicator",415,"Toimipaikat, joissa hävikin hallinnan seurantajärjestelmät on otettu käyttöön","i415",NA,"operational","year",NA,NA,NA
"235","https://aplans.api.hel.ninja/v1/indicator/416/","indicator",416,"Toteutettujen ruokahävikkikampanjoiden lukumäärä","i416",NA,"operational","year",NA,NA,NA
"236","https://aplans.api.hel.ninja/v1/action/387/","action",387,"Ruoan kuljetuksen ilmastopäästöt","a387","98",NA,NA,NA,NA,NA
"237","https://aplans.api.hel.ninja/v1/action/389/","action",389,"Tapahtumien ympäristövaikutusten vähentäminen","a389","100",NA,NA,NA,NA,NA
"238","https://aplans.api.hel.ninja/v1/indicator/354/","indicator",354,"Tapahtumille rakennettujen Ekokompassi-ympäristöjärjestelmien määrä","i354",NA,"operational","year",NA,NA,NA
"239","https://aplans.api.hel.ninja/v1/action/390/","action",390,"Henkilökohtainen päästökauppa","a390","101",NA,NA,NA,NA,NA
"240","https://aplans.api.hel.ninja/v1/indicator/355/","indicator",355,"Päästökaupassa mukana olevien kaupunkilaisten määrä","i355",NA,"operational","year",NA,NA,NA
"241","https://aplans.api.hel.ninja/v1/action/391/","action",391,"Merellinen strategia","a391","102",NA,NA,NA,NA,NA
"242","https://aplans.api.hel.ninja/v1/action/392/","action",392,"Jätteiden syntypaikkalajittelu","a392","103",NA,NA,NA,NA,NA
"243","https://aplans.api.hel.ninja/v1/indicator/351/","indicator",351,"Kartoitettujen kohteiden määrä","i351",NA,"operational","year",NA,NA,NA
"244","https://aplans.api.hel.ninja/v1/action/393/","action",393,"Jätekuljetusten optimointi","a393","104",NA,NA,NA,NA,NA
"245","https://aplans.api.hel.ninja/v1/indicator/382/","indicator",382,"Palaveri pidetty","i382",NA,"","year",NA,NA,NA
"246","https://aplans.api.hel.ninja/v1/action/395/","action",395,"Pakilan työkeskuksen, Uusix-verstaiden ja Pääkaupunkiseudun Kierrätyskeskuksen asiakasmäärien lisääminen","a395","106",NA,NA,NA,NA,NA
"247","https://aplans.api.hel.ninja/v1/indicator/208/","indicator",208,"Asiakaskäynnit","i208",NA,"operational","year",NA,NA,NA
